841,J0933-0819,33:17.1,-08:19:10.0000
842,J0933-1139,33:34.5,-11:39:25.0000
843,J0934+3926,34:06.7,+39:26:32.0000
844,J0935-1939,35:15.6,-19:39:08.0000
845,J0936-0535,36:36.7,-05:35:52.0000
846,J0937+5008,37:12.3,+50:08:52.0100
847,J0938-0708,38:56.1,-07:07:59.9900
848,J0939+4141,39:49.6,+41:41:54.0000
849,J0940+2603,40:14.7,+26:03:28.9900
850,J0941+2728,41:48.1,+27:28:38.0000
851,J0941-1335,41:02.6,-13:35:51.0000
852,J0942+6403,42:03.9,+64:03:11.0000
853,J0942-0759,42:21.5,-07:59:53.0000
854,J0943+1702,43:17.2,+17:02:19.0000
855,J0943+3614,43:19.1,+36:14:52.0100
856,J0945+4636,45:42.1,+46:36:50.0000
857,J0945+5757,45:42.2,+57:57:47.6970
858,J0946+1017,46:35.1,+10:17:06.0990
859,J0948+0022,48:57.3,+00:22:25.0000
860,J0948+4039,48:55.3,+40:39:44.0100
861,J0952+3512,52:32.0,+35:12:52.0100
862,J0952+5048,52:27.3,+50:48:50.0000
863,J0953+2836,53:17.1,+28:36:01.4900
864,J0953+3225,53:27.9,+32:25:51.0100
865,J0954+2639,54:39.8,+26:39:24.0000
866,J0956+2515,56:49.9,+25:15:16.0000
867,J0957-0156,57:27.2,-01:56:54.0000
868,J0957-1350,57:18.2,-13:50:01.0000
869,J0958+4725,58:19.7,+47:25:07.0100
870,J0958+5039,58:37.8,+50:39:57.0100
871,J0958+6533,58:47.2,+65:33:54.0100
872,J1001+1015,01:57.7,+10:15:49.0000
873,J1001+2911,01:10.2,+29:11:37.0000
874,J1001+3424,01:11.9,+34:24:50.0100
875,J1002+1216,02:52.9,+12:16:14.0000
876,J1007+1356,07:41.5,+13:56:29.0000
877,J1007-0207,07:04.4,-02:07:10.0000
878,J1008+0621,08:00.8,+06:21:21.0000
879,J1010+3330,10:51.8,+33:30:17.0000
880,J1010+8250,10:15.8,+82:50:14.0200
881,J1010-0200,10:51.7,-02:00:19.6000
882,J1012+2312,12:16.4,+23:12:14.0000
883,J1013+2449,13:53.4,+24:49:16.0000
884,J1013+3445,13:49.6,+34:45:50.0000
885,J1014+2301,14:47.1,+23:01:16.0000
886,J1015+1227,15:44.0,+12:27:07.0000
887,J1015+4926,15:04.1,+49:26:00.0000
888,J1015+6728,15:38.0,+67:28:44.0000
889,J1016+2037,16:44.3,+20:37:47.0000
890,J1017+6116,17:25.9,+61:16:27.0000
891,J1018+0530,18:27.8,+05:30:29.0000
892,J1018+3542,18:11.0,+35:42:39.0000
893,J1019+6320,19:50.9,+63:20:01.0000
894,J1021+3437,21:17.5,+34:37:20.9900
895,J1022+4239,22:13.1,+42:39:25.0000
